Location ID From;Location ID To;Driving Time (s);Distance (m)
1;1;0;0
1;2;932;13933
1;3;932;13933
1;4;932;13933
1;5;932;13933
1;6;932;13933
1;7;932;13933
1;8;932;13933
1;9;932;13933
1;10;932;13933
1;11;932;13933
1;12;932;13933
1;13;932;13933
1;14;932;13933
1;15;932;13933
1;16;934;13944
1;17;934;13944
1;18;934;13944
1;19;934;13944
1;20;934;13944
1;21;916;13852
1;22;916;13852
1;23;935;13947
1;24;1068;12486
2;1;1000;11981
2;2;0;0
2;3;0;0
2;4;0;0
2;5;0;0
2;6;0;0
2;7;0;0
2;8;0;0
2;9;0;0
2;10;0;0
2;11;0;0
2;12;0;0
2;13;0;0
2;14;0;0
2;15;0;0
2;16;2;12
2;17;2;12
2;18;2;12
2;19;2;12
2;20;2;12
2;21;153;517
2;22;153;517
2;23;13;54
2;24;86;230
3;1;1000;11981
3;2;0;0
3;3;0;0
3;4;0;0
3;5;0;0
3;6;0;0
3;7;0;0
3;8;0;0
3;9;0;0
3;10;0;0
3;11;0;0
3;12;0;0
3;13;0;0
3;14;0;0
3;15;0;0
3;16;2;12
3;17;2;12
3;18;2;12
3;19;2;12
3;20;2;12
3;21;153;517
3;22;153;517
3;23;13;54
3;24;86;230
4;1;1000;11981
4;2;0;0
4;3;0;0
4;4;0;0
4;5;0;0
4;6;0;0
4;7;0;0
4;8;0;0
4;9;0;0
4;10;0;0
4;11;0;0
4;12;0;0
4;13;0;0
4;14;0;0
4;15;0;0
4;16;2;12
4;17;2;12
4;18;2;12
4;19;2;12
4;20;2;12
4;21;153;517
4;22;153;517
4;23;13;54
4;24;86;230
5;1;1000;11981
5;2;0;0
5;3;0;0
5;4;0;0
5;5;0;0
5;6;0;0
5;7;0;0
5;8;0;0
5;9;0;0
5;10;0;0
5;11;0;0
5;12;0;0
5;13;0;0
5;14;0;0
5;15;0;0
5;16;2;12
5;17;2;12
5;18;2;12
5;19;2;12
5;20;2;12
5;21;153;517
5;22;153;517
5;23;13;54
5;24;86;230
6;1;1000;11981
6;2;0;0
6;3;0;0
6;4;0;0
6;5;0;0
6;6;0;0
6;7;0;0
6;8;0;0
6;9;0;0
6;10;0;0
6;11;0;0
6;12;0;0
6;13;0;0
6;14;0;0
6;15;0;0
6;16;2;12
6;17;2;12
6;18;2;12
6;19;2;12
6;20;2;12
6;21;153;517
6;22;153;517
6;23;13;54
6;24;86;230
7;1;1000;11981
7;2;0;0
7;3;0;0
7;4;0;0
7;5;0;0
